Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat
34888,877019,076.7 055.0,20-1806SR-MX-174-0149-07670550-0125A-7,125,8.933,33.9099,2.899,26.279659999999996,44.48
34888,877020,076.7 055.0,20-1806SR-MX-174-0149-07670550-0140A-3,140,8.848,33.9437,2.634,26.31997,40.35
34888,877021,076.7 055.0,20-1806SR-MX-174-0149-07670550-0150A-7,150,8.681,33.9712,2.602,26.36781,39.71
34888,877022,076.7 055.0,20-1806SR-MX-174-0149-07670550-0170A-3,170,8.543,33.9868,2.445,26.401909999999997,37.2
34888,877023,076.7 055.0,20-1806SR-MX-174-0149-07670550-0200A-3,200,8.369,34.0197,2.199,26.455140000000004,33.33
34888,877024,076.7 055.0,20-1806SR-MX-174-0149-07670550-0230A-3,230,8.057,34.0419,2.05,26.5201,30.86
34888,877025,076.7 055.0,20-1806SR-MX-174-0149-07670550-0250A-7,250,7.833,34.0658,1.862,26.57228,27.89
34888,877026,076.7 055.0,20-1806SR-MX-174-0149-07670550-0270A-3,270,7.606,34.0752,1.656,26.61293,24.67
34888,877027,076.7 055.0,20-1806SR-MX-174-0149-07670550-0300A-7,300,7.327,34.1026,1.418,26.6747,20.99
34888,877028,076.7 055.0,20-1806SR-MX-174-0149-07670550-0320A-3,320,6.847,34.0682,1.425,26.713829999999998,20.86
34888,877029,076.7 055.0,20-1806SR-MX-174-0149-07670550-0380A-3,380,7.104,34.2332,0.583,26.810579999999998,8.59
34888,877030,076.7 055.0,20-1806SR-MX-174-0149-07670550-0400A-7,400,7.038,34.2349,0.547,26.821479999999998,8.05
34888,877031,076.7 055.0,20-1806SR-MX-174-0149-07670550-0441A-3,441,6.728,34.235,0.49,26.86433,7.16
34888,877032,076.7 055.0,20-1806SR-MX-174-0149-07670550-0500A-7,500,6.397,34.2634,0.399,26.93151,5.78
34888,877033,076.7 055.0,20-1806SR-MX-174-0149-07670550-0516A-3,516,6.322,34.2736,0.36,26.94959,5.21
34889,877034,076.7 060.0,20-1806SR-MX-173-2144-07670600-0000A-7,0,13.593,33.6354,6.437,25.21715,109.04
34889,877035,076.7 060.0,20-1806SR-MX-173-2144-07670600-0002A-3,2,13.593,33.6354,6.437,25.21726,109.04
34889,877036,076.7 060.0,20-1806SR-MX-173-2144-07670600-0010A-3,10,13.558,33.6362,6.409,25.22547,108.49
34889,877037,076.7 060.0,20-1806SR-MX-173-2144-07670600-0020A-3,20,13.455,33.6421,6.373,25.25151,107.65
34889,877038,076.7 060.0,20-1806SR-MX-173-2144-07670600-0030A-3,30,13.067,33.6521,6.201,25.33768,103.91
34889,877039,076.7 060.0,20-1806SR-MX-173-2144-07670600-0040A-3,40,12.038,33.6946,5.314,25.57059,87.16
34889,877040,076.7 060.0,20-1806SR-MX-173-2144-07670600-0050A-3,50,11.159,33.7386,4.466,25.76741,71.9
34889,877041,076.7 060.0,20-1806SR-MX-173-2144-07670600-0060A-3,60,10.788,33.7256,4.16,25.823829999999997,66.43
34889,877042,076.7 060.0,20-1806SR-MX-173-2144-07670600-0071A-3,71,10.2,33.7022,3.556,25.9079,56.05
34889,877043,076.7 060.0,20-1806SR-MX-173-2144-07670600-0075A-7,75,10.096,33.7088,3.536,25.93085,55.61
34889,877044,076.7 060.0,20-1806SR-MX-173-2144-07670600-0085A-3,85,9.973,33.7276,3.443,25.966639999999998,54.01
34889,877045,076.7 060.0,20-1806SR-MX-173-2144-07670600-0100A-7,100,9.485,33.8045,3.101,26.10797,48.14
34889,877046,076.7 060.0,20-1806SR-MX-173-2144-07670600-0101A-3,101,9.373,33.8029,3.063,26.12493,47.43
34889,877047,076.7 060.0,20-1806SR-MX-173-2144-07670600-0121A-3,121,9.196,33.8532,2.945,26.19345,45.44
34889,877048,076.7 060.0,20-1806SR-MX-173-2144-07670600-0125A-7,125,9.035,33.8971,2.871,26.25355,44.15
34889,877049,076.7 060.0,20-1806SR-MX-173-2144-07670600-0140A-3,140,8.913,33.9128,2.774,26.285590000000003,42.54
34889,877050,076.7 060.0,20-1806SR-MX-173-2144-07670600-0150A-7,150,8.772,33.9404,2.746,26.329559999999997,41.99
34889,877051,076.7 060.0,20-1806SR-MX-173-2144-07670600-0170A-3,170,8.642,33.9539,2.661,26.36092,40.57
34889,877052,076.7 060.0,20-1806SR-MX-173-2144-07670600-0200A-3,200,8.122,34.0287,2.124,26.499190000000002,32.02
34889,877053,076.7 060.0,20-1806SR-MX-173-2144-07670600-0230A-3,230,7.601,34.0683,1.713,26.60707,25.52
34889,877054,076.7 060.0,20-1806SR-MX-173-2144-07670600-0250A-7,250,7.366,34.0729,1.601,26.6445,23.72
34889,877055,076.7 060.0,20-1806SR-MX-173-2144-07670600-0270A-3,270,7.076,34.1024,1.267,26.708440000000003,18.65
34889,877056,076.7 060.0,20-1806SR-MX-173-2144-07670600-0300A-7,300,6.943,34.1523,0.976,26.766659999999998,14.33
34889,877057,076.7 060.0,20-1806SR-MX-173-2144-07670600-0320A-3,320,6.75,34.16,0.843,26.79918,12.32
34889,877058,076.7 060.0,20-1806SR-MX-173-2144-07670600-0380A-3,380,6.332,34.1736,0.671,26.86607,9.71
34889,877059,076.7 060.0,20-1806SR-MX-173-2144-07670600-0400A-7,400,6.197,34.1929,0.591,26.899009999999997,8.53
34889,877060,076.7 060.0,20-1806SR-MX-173-2144-07670600-0440A-3,440,5.962,34.2124,0.467,26.94483,6.7
34889,877061,076.7 060.0,20-1806SR-MX-173-2144-07670600-0500A-7,500,5.687,34.2406,0.373,27.002129999999998,5.32
34889,877062,076.7 060.0,20-1806SR-MX-173-2144-07670600-0515A-3,515,5.706,34.2579,0.326,27.01385,4.65
34890,877063,076.7 070.0,20-1806SR-PR-173-1632-07670700-0000A-7,0,14.338,33.5461,6.026,24.99362,103.6
34890,877064,076.7 070.0,20-1806SR-PR-173-1632-07670700-0002A-3,2,14.338,33.5461,6.026,24.99374,103.6
34890,877065,076.7 070.0,20-1806SR-PR-173-1632-07670700-0008A-3,8,14.33,33.5475,6.032,24.996879999999997,103.69
34890,877066,076.7 070.0,20-1806SR-PR-173-1632-07670700-0010A-3,10,14.337,33.5434,6.016,24.99236,103.42
34890,877067,076.7 070.0,20-1806SR-PR-173-1632-07670700-0011B-6,10,14.335,33.5489,,24.9971,
34890,877068,076.7 070.0,20-1806SR-PR-173-1632-07670700-0019A-3,19,14.334,33.547,6.002,24.99632,103.17
34890,877069,076.7 070.0,20-1806SR-PR-173-1632-07670700-0020A-7,20,14.336,33.5499,6.028,24.99819,103.63
34890,877070,076.7 070.0,20-1806SR-PR-173-1632-07670700-0027A-3,27,14.334,33.5509,6.028,24.99982,103.62
34890,877071,076.7 070.0,20-1806SR-PR-173-1632-07670700-0027B-6,27,14.334,33.5479,,24.9975,
34890,877072,076.7 070.0,20-1806SR-PR-173-1632-07670700-0030B-7,30,14.334,33.5499,6.022,24.999229999999997,103.52
34890,877073,076.7 070.0,20-1806SR-PR-173-1632-07670700-0035A-3,35,14.294,33.5523,6.028,25.00981,103.53
34890,877074,076.7 070.0,20-1806SR-PR-173-1632-07670700-0043A-3,43,12.729,33.5769,5.784,25.346729999999997,96.19
34890,877075,076.7 070.0,20-1806SR-PR-173-1632-07670700-0050A-7,50,12.282,33.5803,5.81,25.43605,95.72
34890,877076,076.7 070.0,20-1806SR-PR-173-1632-07670700-0052A-3,52,12.186,33.5867,5.565,25.4594,91.5
34890,877077,076.7 070.0,20-1806SR-PR-173-1632-07670700-0060A-3,60,11.958,33.6092,5.219,25.52032,85.4
34890,877078,076.7 070.0,20-1806SR-PR-173-1632-07670700-0070A-3,70,11.366,33.652,4.407,25.66346,71.23
34890,877079,076.7 070.0,20-1806SR-PR-173-1632-07670700-0075A-7,75,11.135,33.6802,4.309,25.72739,69.31
